# NBody, nbody = 1024, iterations = 20
# rustc 1.34.0
# rustflags = ["-C", "target-feature=sse3,sse4.1,sse4.2,avx,avx2"]
# Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
#
# sequential code
# Rust: 131.1
#
# cores		Rust_naive	Rust_SoA	gcc
1		132.1		16.2		134.6
2		66.3		8.7		68.3
4		33.5 		4.5		34.0
8		17.4		2.6		17.0
10		14.2		2.0		13.6
